response,context,context/0,context/1,context/2,context/3,context/4,context/5
Pettywoman can send ur personal statement,Why u Emo nvr tell me,He dam emo izzit U dam bad last day of sch still bully haha,I jus laugh alr Tot Joel they all playing nia,Haha u tie him how long,Why u all gang him,Got lesson How s sj,Wtf sj how now
Lol she says what about Friday,Joce Are you free next wed,Ahha okay I ll ask joce,Lol so shiok I normally end around but got free day on wed,Yes yes all correct Let s get it,Orh I end at today Wanna meet for dinnel or sth,cuddles nah just got it recently Damn epidemic going around Pls take care,Ohhhhhh ahhhh dammit I m so freshie
Lol that moment wont bring you any further Haha you carry on to bemy test pet bah LOL,Lol you had me for a moment,Lol Then I no need scared you will forget to bring tmr le HAHAHA,Lol oh yeah Haha wait till tmr you remember to bring your hard disk first XD,Haha aww No koi,Lol serious Im not kidding You can try,Lol excuses Haha I helped you check le This one no queue also,Lol walk down from your house and buy it
Yo later after this can go with me to sc room take your blazer,Are you in sch,Coz i m amazing D,Hello Are you in sch today,Yeap haha your phone is too noob D,I m not sad either Yeah ok Aft this,Haha sorry I was busy with sc meetings Then go home v tired crash on the bed XD are you in sch,nope you didn t Okay
Wow so early Haha u meeting them at pasir ris right,Haha ya lo eh u must sleep U need to wake up so early,Lol the wedding show lo still got episode to go,Haha told u lol not weird right nope watching my show lol,Haha ya lo scary Haha lol good for u Haha so did he say alot thing lol,No lah I see the lift go up floor wif full load when I amwaiting lah I inside I tink I go crazy lo lol,Wa liew just now the lift show full load and stop at floor siaso scary,Yeah of cos we all still at home lol u reaching
Oh oh No ct today,Lol what de Haha you at bus stop just now,Woo if it s de still okay mah,Lol simi lai de,Lol is that biscuit,Haha riesling Jacob s creek Sound so familiar,Haha like that also can eh Lol okay interesting theory Maybe ishould try someday too,Hahaha woo i see Wah how can you determine your fate like this Lolso unfair to him
sharis r able to meet me tmr to pay me back 25bucks I am quite broke Hee Sorry,Y U got lobang ar Ok lor i dun mind but i got lesson until tmr lei,ll be back hall tomorrow btw cny in spore or flyin,Yup Tmr meet at bishan mrt,s going thru tutorial today Is today the last lecture,Helo k reen Hw r u Nice koe ya r u e k reen i koe who s 23f frm sabah,We bot a juicer Then we wan make juice but both of us too lazy then ma say ask u to cum bk n zha Hee,then i wait for u at home hurry up go hime
Ehh my bro just woke up sian wait awhile,Omg SORRY I JUST SAW THIS How now OOOOO,YO ROOMMATE HAPPY BIRTHDAY But you ll have to wait for yourpresent coz I wanted to get you sth cool from Japan D,Ehh I told her you and yuhan are doing o o do you want to do it I ll clarify with her,Yeap just bathe finish Coming online soon Haha actl I v tired P,Haha I think I reached home earlier than you P haha eatendinner le mah I m still eating P haha what Its the randomnote,Haha okay reaching home soon I m at the bus interchange walkinghome le,Haha yeap Very pretty haha yeap her She s council teacher ooo hope you reach home really really soon I m just about to eathaha ooo what song
Lols 2moro check la BTW quiz 2moro,U took my back gate card,Nice Need gimme DECIMAL more for rock climbing,Truman pse tell Joe tks uncle tonyJo will see u at DECIMAL today do remember to take phone cardfrom me dad,Ok come my class get,Jens is a good m runner I got min for napfa lols Sorrybut u put me in handball I sure join haha,I m Joel Phone no money so nid u bring phone card from mom to me Meet under hostel I ll use this phone to call u nearing the time,Hi dad can meet me at DECIMAL instead Cos I got class till
Hahas its jus a movie Plus Idk why he even wanna volunteer Think Iwill watch on Sunday ba,Jus watched the trailer Looks good But why the red light nvr flash,Hmm wat movie is it U joke sia,How come Who angered u,No need le I got pants le so no need bring too thks,Date For celebration night No have la,Ok I try Eh 2moro if see me call out dun like the other time nvr even see u,I think if really push can hit above but will have bad form le Tot bench supposed to be controlled
hmmm i c how k,ll msg u ur no if u haven reach,Oh n lkg for wad type of jobs,IM REALY SOZ IMAT MY MUMS 2NITE WHAT ABOUT 2MORO,m thkin of goin on fri nite oso Eh thurs got hip hop wana go too Gee,Haha Meet at Then can sleep longer,But thk he will colour my whole head oso cos still need a base colour wat,Then never mind lor go another time
Haha i think i rest at home first bah If you all meeting for supperthen call me bah,Lol i have nothing to shop,Oh oh Then i go home sleep first bah,Yo you all shopping now,Haha but still Guilty mah I said im going with you today but never,Aww okay bah Im sorry for today,Lol i at clementi mrt eh,Awww really You at iluma le arh
U don t have laptop,Ok not ok also Bo bian No matter what I need to go at Pk and I doing now,Aiyo u just come lor,Rmb to buy m8 circlips lotsa them,Oei don t mia leh,Eh let us know when u coming,Moses Treat ah If no treat dowan la,Repairing of the heel rest layers cf vacuum pump
will u b able to help me with sorting tml anytime from 2pm it will be at s15 lvl benches near lift and will take ard 45 mins Loo Geok,Sis where are you Can you call me,Yo Reminder and also some slight changes Lets meet at sheares hall lobby Tmr,Can loh i dun mind wed to rite,I need to confirm with you guys regarding the small class gathering at my studio at 6pm on sunday let me know if you guys are coming please reply asap,Got a car park at hong lim park Its at 6pm,gong xi fa cai hong bao na lai call me when u get home,happy chinese new year kor may u find a good job and prosper in e yr of the monkey
Haha yeah we also split up,Ohh Haha yeah he is probably talking quite loudly now right haha,Haha explain the mins thing,Haha maybe Huh what thing plus ten mins haha Omg hahaha what willppl think if they see you looking at that pic sia,Aw man haha fine P see you later then Enjoy yourself,Coz have to make sure formatting consistent content flows and espthe appendices,Haha if I say i m not will you want me to go down P haha if you arebored and nothing to do I can chat with you awhile ma,Haha no no dun need My dad told me go eat my dinner haha Want me togo find you
Yeah but you mean you got very close to sj then now you get awkward so you wanna become independent Just talk about it with sj lah,Ahaha yeah keep that joke within ourselves Ohh so you arent planning to get into any relationships meh,Since when did I forget about our friendship I almost said I wanted to marry you during the game just now then you reminded me about money fortunately,Okay cannot say then dont Oh well you just say say to comfort me nia,I ignored quite a lot of people what Double date You mean mf yx and me stacy You can get attached to people just gotta handle things well enough,Episode I went to like the vampire diaries page on facebook then I saw friends that liked it too So I was like whoa then I realised they are all girls,But still cant treat me like that right Oh well nothing I can say anyway,Yeah I know mood swings Never PMS ah whoa lucky When I graduate What s the difference with telling me now Eh that emophase I got ignore just you meh Guess he s still awkward when with you Want to come but Stacy s coming too would that be fine Otherwise If I got nothing on then I am going home
Oh poor thg Haha enjoy ur rag day tmr den,How i noe where got cheese cake,I go already huh later call me lor,i think u shd think more bout academic benefits thn i dun wan u to spend much money on me oso ya havin break now gonna eat le,Sailin and playin games lor,Yea Its a superstition thing Go temple n take e first joss stick Its always featured in news lei Last min hug buddha leg Not good p,Hey Tmr we go your house play mahjong can,s fren thgt u noe liao
wtheck virtualand bugis go convert to ecard payment then I want to pong also cannot,Ok i go after lunch so about,Lol poke me when i can come over xD,Yeah i just finished routing that s why i asked lol,Where are we meeting,Yeah i lulzing at your convo but it s okay don t worry about it,I need to print transparencies again etc will take at least full day,Sorry i butt messaged you forgot to lock keypad
Not a problem I will get Vincent to meet you if possible,Hahahaa this is called Lol dont want laaaa Not like it srelated to astro hahahaha,HAHAHA I am officially a bss staff already leh lol,Wooo HAHA okay Anyway I dont think im going to marina barrage eh Like awkward lol,What time you coming home,Ah Lol I cant remember eh Should be inside,No it s leave devil alone,Leave me alone I think
Melvin when u called me juz nw was ur kor at the interchange already,Nv say K u open urself nite nite,Hee GD GD Take a good rest my wonderful baobei,Oo u wan me to help u open the letter ma or u open urself tmr,Oo u gt duty today ar Got letter for u frm Singapore poly I put on ur bed,Oki Bblg also Get home safe,De de when u coming back,hee baobei laogong i reach home le we are two lucky pple alwayssayanging each other hee myacks
I taken ur cs term test paper for u later pass to u,Haha then take knife go up kill them all lo lol hai hao leh theaverage is around lol,Haha then u shld Chen ji nap Wa finish half le lo so fast Lolanother term test out le lo I got DECIMAL haha jia youle,Haha so poor thing T T later evening nap a while lo sob sob sob so early do assignment lol then can finish early lol haha paternalI gonna nap a while in school,Lol both night owl sure die haha I overslept on the mrt and goback one station lo Sianz super late le Lol,Wa jia liat T T I really xing teng for u I am serious about tmlu can come my house sleep leh lol anyway I no school,Dunno leh lol stupid lo install loft there dunno for wat literally nobody take one then how sia u sure lack of sleep oneT T tml I can come my house early to sleep lol,Lol wa so ke lian it must go on for a month sia where got sell ear plug lol
